site,species,plot,total,LL,UR
750,Euphorbia spathulata,1,1,1,
750,Euphorbia spathulata,2,,,
750,Euphorbia spathulata,3,1,,1
750,Euphorbia spathulata,4,1,1,2
750,Euphorbia spathulata,5,1,1,
751,Euphorbia spathulata,1,,,
751,Euphorbia spathulata,2,,,
751,Euphorbia spathulata,3,1,1,
751,Euphorbia spathulata,4,2,5,
751,Euphorbia spathulata,5,1,1,1
753,Euphorbia spathulata,1,,,
753,Euphorbia spathulata,2,,,
753,Euphorbia spathulata,3,,,
753,Euphorbia spathulata,4,,,
753,Euphorbia spathulata,5,1,,
752,Euphorbia spathulata,1,4,2,2
752,Euphorbia spathulata,2,,,
752,Euphorbia spathulata,3,,,
752,Euphorbia spathulata,4,,,
752,Euphorbia spathulata,5,,,
763,Filago californica,1,,,
763,Filago californica,2,1,,1
763,Filago californica,3,,,
763,Filago californica,4,,,
763,Filago californica,5,,,
763,Filago gallica,1,,,
763,Filago gallica,2,1,,1
763,Filago gallica,3,,,
763,Filago gallica,4,1,1,
763,Filago gallica,5,,,
741,Fritillaria biflora,1,,,
741,Fritillaria biflora,2,,,
741,Fritillaria biflora,3,,,
741,Fritillaria biflora,4,,,
741,Fritillaria biflora,5,2,4,
742,Fritillaria biflora,1,,,
742,Fritillaria biflora,2,1,,
742,Fritillaria biflora,3,,,
742,Fritillaria biflora,4,,,
742,Fritillaria biflora,5,,,
743,Fritillaria biflora,1,,,
743,Fritillaria biflora,2,,,
743,Fritillaria biflora,3,2,,2
743,Fritillaria biflora,4,,,
743,Fritillaria biflora,5,,,
745,Fritillaria biflora,1,,,
745,Fritillaria biflora,2,2,,
745,Fritillaria biflora,3,,,
745,Fritillaria biflora,4,,,
745,Fritillaria biflora,5,,,
752,Fritillaria biflora,1,4,,1
752,Fritillaria biflora,2,,,
752,Fritillaria biflora,3,,,
752,Fritillaria biflora,4,,,
752,Fritillaria biflora,5,,,
758,Galium aparine,1,,,
758,Galium aparine,2,,,
758,Galium aparine,3,4,,2
758,Galium aparine,4,1,,2
758,Galium aparine,5,,,
759,Galium aparine,1,1,,
759,Galium aparine,2,1,2,
759,Galium aparine,3,1,,
759,Galium aparine,4,1,,
759,Galium aparine,5,1,1,
761,Geranium dissectum,1,,,
761,Geranium dissectum,2,1,,
761,Geranium dissectum,3,,,
761,Geranium dissectum,4,,,
761,Geranium dissectum,5,,,
747,Gilia ochroleuca,1,1,2,1
747,Gilia ochroleuca,2,1,,
747,Gilia ochroleuca,3,,,
747,Gilia ochroleuca,4,,,
747,Gilia ochroleuca,5,,,
748,Gilia ochroleuca,1,1,1,
748,Gilia ochroleuca,2,1,,
748,Gilia ochroleuca,3,4,1,5
748,Gilia ochroleuca,4,1,2,1
748,Gilia ochroleuca,5,8,5,
763,Gilia sp.,1,,,
763,Gilia sp.,2,2,5,
763,Gilia sp.,3,1,,
763,Gilia sp.,4,,,
763,Gilia sp.,5,,,
745,Hazardia squarrosa,1,,,
745,Hazardia squarrosa,2,,,
745,Hazardia squarrosa,3,,,
745,Hazardia squarrosa,4,1,,
745,Hazardia squarrosa,5,,,
741,Hemizonia congesta,1,8,5,1
741,Hemizonia congesta,2,1,1,
741,Hemizonia congesta,3,10,5,25
741,Hemizonia congesta,4,4,5,10
741,Hemizonia congesta,5,1,,1
743,Hemizonia congesta,1,2,,
743,Hemizonia congesta,2,,,
743,Hemizonia congesta,3,,,
743,Hemizonia congesta,4,,,
743,Hemizonia congesta,5,,,
745,Hemizonia congesta,1,1,,
745,Hemizonia congesta,2,2,,5
745,Hemizonia congesta,3,,,
745,Hemizonia congesta,4,,,
745,Hemizonia congesta,5,,,
746,Hemizonia congesta,1,1,,
746,Hemizonia congesta,2,,,
746,Hemizonia congesta,3,,,
746,Hemizonia congesta,4,,,
746,Hemizonia congesta,5,,,
740,Hemizonia congesta,1,4,5,5
740,Hemizonia congesta,2,1,2,
740,Hemizonia congesta,3,1,5,
740,Hemizonia congesta,4,4,1,5
740,Hemizonia congesta,5,8,2,5
742,Hordeum murinum,5,20,,40
744,Hordeum murinum,1,,,
744,Hordeum murinum,2,1,,1
744,Hordeum murinum,3,,,
744,Hordeum murinum,4,,,
744,Hordeum murinum,5,,,
749,Hordeum murinum,1,,,
749,Hordeum murinum,2,,,
749,Hordeum murinum,3,8,1,5
749,Hordeum murinum,4,10,10,20
749,Hordeum murinum,5,,,
753,Hordeum murinum,1,,,
753,Hordeum murinum,2,1,,
753,Hordeum murinum,3,2,,
753,Hordeum murinum,4,,,
753,Hordeum murinum,5,,,
754,Hordeum murinum,1,,,
754,Hordeum murinum,2,8,10,1
754,Hordeum murinum,3,,,
754,Hordeum murinum,4,,,
754,Hordeum murinum,5,,,
761,Hordeum murinum,1,1,,
761,Hordeum murinum,2,,,
761,Hordeum murinum,3,,,
761,Hordeum murinum,4,,,
761,Hordeum murinum,5,,,
758,Hordeum murinum,1,,,
758,Hordeum murinum,2,20,40,50
758,Hordeum murinum,3,,,
758,Hordeum murinum,4,,,
758,Hordeum murinum,5,,,
759,Hordeum murinum,1,,,
759,Hordeum murinum,2,,,
759,Hordeum murinum,3,1,,
759,Hordeum murinum,4,1,,1
759,Hordeum murinum,5,,,
763,Hypochaeris glabra,1,,,
763,Hypochaeris glabra,2,,,
763,Hypochaeris glabra,3,,,
763,Hypochaeris glabra,4,1,,
763,Hypochaeris glabra,5,,,
741,Lactuca serriola,1,1,1,1
741,Lactuca serriola,2,1,,
741,Lactuca serriola,3,1,1,
741,Lactuca serriola,4,1,,
741,Lactuca serriola,5,,,
742,Lactuca serriola,1,1,,
742,Lactuca serriola,2,,,
742,Lactuca serriola,3,1,,
742,Lactuca serriola,4,1,,
742,Lactuca serriola,5,1,,1
745,Lactuca serriola,1,1,,
745,Lactuca serriola,2,,,
745,Lactuca serriola,3,,,
745,Lactuca serriola,4,,,
745,Lactuca serriola,5,,,
749,Lactuca serriola,1,1,1,
749,Lactuca serriola,2,1,,1
749,Lactuca serriola,3,1,,
749,Lactuca serriola,4,1,,
749,Lactuca serriola,5,4,,
740,Lactuca serriola,1,12,10,20
740,Lactuca serriola,2,1,1,
740,Lactuca serriola,3,1,,1
740,Lactuca serriola,4,1,5,2
740,Lactuca serriola,5,1,,1
750,Lactuca serriola,1,,,
750,Lactuca serriola,2,1,,
750,Lactuca serriola,3,1,,
750,Lactuca serriola,4,,,
750,Lactuca serriola,5,,,
751,Lactuca serriola,1,,,
751,Lactuca serriola,2,,,
751,Lactuca serriola,3,,,
751,Lactuca serriola,4,1,,
751,Lactuca serriola,5,,,
753,Lactuca serriola,1,1,4,
753,Lactuca serriola,2,1,,1
753,Lactuca serriola,3,4,,
753,Lactuca serriola,4,,,
753,Lactuca serriola,5,1,,
752,Lactuca serriola,1,1,,
752,Lactuca serriola,2,,,
752,Lactuca serriola,3,,,
752,Lactuca serriola,4,1,,
752,Lactuca serriola,5,,,
755,Lactuca serriola,1,,,
755,Lactuca serriola,2,1,,1
755,Lactuca serriola,3,,,
755,Lactuca serriola,4,,,
755,Lactuca serriola,5,,,
760,Lactuca serriola,1,,,
760,Lactuca serriola,2,,,
760,Lactuca serriola,3,,,
760,Lactuca serriola,4,,,
760,Lactuca serriola,5,1,1,
741,Lasthenia californica,1,,,
741,Lasthenia californica,2,,,
741,Lasthenia californica,3,,,
741,Lasthenia californica,4,,,
741,Lasthenia californica,5,2,,
742,Lasthenia californica,1,4,2,
742,Lasthenia californica,2,2,2,1
742,Lasthenia californica,3,1,,1
742,Lasthenia californica,4,,,
742,Lasthenia californica,5,,,
743,Lasthenia californica,1,20,25,1
743,Lasthenia californica,2,4,1,2
743,Lasthenia californica,3,20,4,10
743,Lasthenia californica,4,10,5,5
743,Lasthenia californica,5,2,1,1
745,Lasthenia californica,1,1,1,
745,Lasthenia californica,2,1,2,
745,Lasthenia californica,3,30,2,10
745,Lasthenia californica,4,1,,
745,Lasthenia californica,5,8,5,2
744,Lasthenia californica,1,40,20,60
744,Lasthenia californica,2,30,10,50
744,Lasthenia californica,3,30,40,10
744,Lasthenia californica,4,30,40,20
744,Lasthenia californica,5,4,5,2
747,Lasthenia californica,1,,,
747,Lasthenia californica,2,1,,1
747,Lasthenia californica,3,,,
747,Lasthenia californica,4,,,
747,Lasthenia californica,5,1,,
751,Lasthenia californica,1,10,10,5
751,Lasthenia californica,2,4,5,10
751,Lasthenia californica,3,4,2,5
751,Lasthenia californica,4,15,2,5
751,Lasthenia californica,5,10,2,3
752,Lasthenia californica,1,1,1,
752,Lasthenia californica,2,8,2,5
752,Lasthenia californica,3,4,,5
752,Lasthenia californica,4,1,1,
752,Lasthenia californica,5,8,2,5
755,Lasthenia californica,1,4,,1
755,Lasthenia californica,2,2,2,1
755,Lasthenia californica,3,12,15,5
755,Lasthenia californica,4,16,10,30
755,Lasthenia californica,5,10,10,5
743,Linanthus parviflorus,1,,,
743,Linanthus parviflorus,2,1,,
743,Linanthus parviflorus,3,12,2,2
743,Linanthus parviflorus,4,1,1,1
743,Linanthus parviflorus,5,1,,1
745,Linanthus parviflorus,1,,,
745,Linanthus parviflorus,2,,,
745,Linanthus parviflorus,3,,,
745,Linanthus parviflorus,4,1,,
745,Linanthus parviflorus,5,1,,1
744,Linanthus parviflorus,1,1,,
744,Linanthus parviflorus,2,,,
744,Linanthus parviflorus,3,,,
744,Linanthus parviflorus,4,1,,
744,Linanthus parviflorus,5,,,
751,Linanthus parviflorus,1,4,1,1
751,Linanthus parviflorus,2,1,,
751,Linanthus parviflorus,3,25,20,20
751,Linanthus parviflorus,4,,,
751,Linanthus parviflorus,5,1,,1
752,Linanthus parviflorus,1,1,,
752,Linanthus parviflorus,2,12,10,5
752,Linanthus parviflorus,3,16,10,40
752,Linanthus parviflorus,4,40,20,10
752,Linanthus parviflorus,5,10,20,5
755,Linanthus parviflorus,1,18,5,10
755,Linanthus parviflorus,2,16,10,20
755,Linanthus parviflorus,3,8,1,1
755,Linanthus parviflorus,4,4,1,2
755,Linanthus parviflorus,5,12,10,5
748,Coreopsis bigelovii,1,4,,1
748,Coreopsis bigelovii,2,1,,
748,Coreopsis bigelovii,3,2,,2
748,Coreopsis bigelovii,4,1,,1
748,Coreopsis bigelovii,5,1,,
741,Stephanomeria cichoriacea,1,,,
741,Stephanomeria cichoriacea,2,,,
741,Stephanomeria cichoriacea,3,1,5,
741,Stephanomeria cichoriacea,4,,,
741,Stephanomeria cichoriacea,5,,,
742,Stephanomeria cichoriacea,1,1,2,
742,Stephanomeria cichoriacea,2,,,
742,Stephanomeria cichoriacea,3,,,
742,Stephanomeria cichoriacea,4,,,
742,Stephanomeria cichoriacea,5,,,
755,Stephanomeria cichoriacea,1,,,
755,Stephanomeria cichoriacea,2,1,,
755,Stephanomeria cichoriacea,3,1,,
755,Stephanomeria cichoriacea,4,,,
755,Stephanomeria cichoriacea,5,,,
763,Stephanomeria cichoriacea,1,4,,20
763,Stephanomeria cichoriacea,2,,,
763,Stephanomeria cichoriacea,3,,,
763,Stephanomeria cichoriacea,4,,,
763,Stephanomeria cichoriacea,5,,,
756,Stephanomeria cichoriacea,1,,,
756,Stephanomeria cichoriacea,2,,,
756,Stephanomeria cichoriacea,3,,,
756,Stephanomeria cichoriacea,4,1,,
756,Stephanomeria cichoriacea,5,1,,
745,Lomatium sp.,1,,,
745,Lomatium sp.,2,,,
745,Lomatium sp.,3,,,
745,Lomatium sp.,4,1,,2
745,Lomatium sp.,5,,,
752,Lomatium sp.,1,,,
752,Lomatium sp.,2,,,
752,Lomatium sp.,3,1,2,
752,Lomatium sp.,4,,,
752,Lomatium sp.,5,,,
755,Lomatium sp.,1,1,,1
755,Lomatium sp.,2,,,
755,Lomatium sp.,3,4,,
755,Lomatium sp.,4,,,
755,Lomatium sp.,5,,,
763,Lotus purshianus,1,,,
763,Lotus purshianus,2,1,,
763,Lotus purshianus,3,,,
763,Lotus purshianus,4,1,,
763,Lotus purshianus,5,,,
748,Lotus strigosus,1,8,1,8
748,Lotus strigosus,2,4,1,
748,Lotus strigosus,3,2,,
748,Lotus strigosus,4,4,,
748,Lotus strigosus,5,4,5,
741,Lotus wrangelianus,1,1,,
741,Lotus wrangelianus,2,4,10,
741,Lotus wrangelianus,3,1,,
741,Lotus wrangelianus,4,1,,
741,Lotus wrangelianus,5,1,,
742,Lotus wrangelianus,1,1,1,
742,Lotus wrangelianus,2,,,
742,Lotus wrangelianus,3,1,,
742,Lotus wrangelianus,4,1,1,
742,Lotus wrangelianus,5,,,
743,Lotus wrangelianus,1,1,1,
743,Lotus wrangelianus,2,1,1,
743,Lotus wrangelianus,3,,,
743,Lotus wrangelianus,4,,,
743,Lotus wrangelianus,5,1,,
745,Lotus wrangelianus,1,,,
745,Lotus wrangelianus,2,1,2,
745,Lotus wrangelianus,3,2,1,
745,Lotus wrangelianus,4,,,
745,Lotus wrangelianus,5,,,
744,Lotus wrangelianus,1,,,
744,Lotus wrangelianus,2,1,,2
744,Lotus wrangelianus,3,,,
744,Lotus wrangelianus,4,,,
744,Lotus wrangelianus,5,,,
746,Lotus wrangelianus,1,,,
746,Lotus wrangelianus,2,,,
746,Lotus wrangelianus,3,,,
746,Lotus wrangelianus,4,1,,1
746,Lotus wrangelianus,5,20,,
747,Lotus wrangelianus,1,,,
747,Lotus wrangelianus,2,,,
747,Lotus wrangelianus,3,2,,
747,Lotus wrangelianus,4,,,
747,Lotus wrangelianus,5,,,
750,Lotus wrangelianus,1,,,
750,Lotus wrangelianus,2,,,
750,Lotus wrangelianus,3,1,,
750,Lotus wrangelianus,4,,,
750,Lotus wrangelianus,5,,,
751,Lotus wrangelianus,1,2,2,5
751,Lotus wrangelianus,2,4,5,
751,Lotus wrangelianus,3,1,,2
751,Lotus wrangelianus,4,4,1,
751,Lotus wrangelianus,5,,,
752,Lotus wrangelianus,1,,,
752,Lotus wrangelianus,2,,,
752,Lotus wrangelianus,3,1,,2
752,Lotus wrangelianus,4,1,2,
752,Lotus wrangelianus,5,,,
755,Lotus wrangelianus,1,1,,
755,Lotus wrangelianus,2,,,
755,Lotus wrangelianus,3,,,
755,Lotus wrangelianus,4,1,,
755,Lotus wrangelianus,5,1,,1
760,Lotus wrangelianus,1,1,,5
760,Lotus wrangelianus,2,,,
760,Lotus wrangelianus,3,,,
760,Lotus wrangelianus,4,,,
760,Lotus wrangelianus,5,1,,
761,Lotus wrangelianus,1,,,
761,Lotus wrangelianus,2,,,
761,Lotus wrangelianus,3,,,
761,Lotus wrangelianus,4,1,,
761,Lotus wrangelianus,5,,,
756,Lotus wrangelianus,1,1,,2
756,Lotus wrangelianus,2,,,
756,Lotus wrangelianus,3,,,
756,Lotus wrangelianus,4,2,1,10
756,Lotus wrangelianus,5,,,
762,Lupinus bicolor,1,1,,1
762,Lupinus bicolor,2,,,
762,Lupinus bicolor,3,,,
762,Lupinus bicolor,4,,,
762,Lupinus bicolor,5,,,
756,Lupinus bicolor,1,8,1,2
756,Lupinus bicolor,2,8,,5
756,Lupinus bicolor,3,4,,5
756,Lupinus bicolor,4,8,5,
756,Lupinus bicolor,5,8,5,
760,Medicago polymorpha,1,8,1,
760,Medicago polymorpha,2,8,2,
760,Medicago polymorpha,3,8,,
760,Medicago polymorpha,4,2,,2
760,Medicago polymorpha,5,8,2,20
761,Medicago polymorpha,1,4,5,2
761,Medicago polymorpha,2,4,,
761,Medicago polymorpha,3,4,2,
761,Medicago polymorpha,4,8,,
761,Medicago polymorpha,5,,,
759,Medicago polymorpha,1,,,
759,Medicago polymorpha,2,,,
759,Medicago polymorpha,3,1,,
759,Medicago polymorpha,4,,,
759,Medicago polymorpha,5,,,
742,Micropus californicus,1,1,,
742,Micropus californicus,2,,,
742,Micropus californicus,3,,,
742,Micropus californicus,4,,,
742,Micropus californicus,5,,,
743,Micropus californicus,1,2,,
743,Micropus californicus,2,1,,
743,Micropus californicus,3,4,,1
743,Micropus californicus,4,4,1,1
743,Micropus californicus,5,1,1,
752,Micropus californicus,1,1,1,
752,Micropus californicus,2,1,1,1
752,Micropus californicus,3,,,
752,Micropus californicus,4,,,
752,Micropus californicus,5,,,
763,Micropus californicus,1,,,
763,Micropus californicus,2,1,,
763,Micropus californicus,3,1,,
763,Micropus californicus,4,,,
763,Micropus californicus,5,,,
757,Micropus californicus,1,,,
757,Micropus californicus,2,,,
757,Micropus californicus,3,1,,
757,Micropus californicus,4,1,,
757,Micropus californicus,5,,,
741,Microseris douglasii,1,,,
741,Microseris douglasii,2,,,
741,Microseris douglasii,3,1,,1
741,Microseris douglasii,4,12,10,5
741,Microseris douglasii,5,12,4,1
742,Microseris douglasii,1,12,1,10
742,Microseris douglasii,2,50,40,20
742,Microseris douglasii,3,12,15,1
742,Microseris douglasii,4,,,
742,Microseris douglasii,5,,,
743,Microseris douglasii,1,1,,
743,Microseris douglasii,2,4,2,
743,Microseris douglasii,3,1,1,
743,Microseris douglasii,4,1,,5
743,Microseris douglasii,5,12,10,4
745,Microseris douglasii,1,4,1,5
745,Microseris douglasii,2,25,40,
745,Microseris douglasii,3,8,5,1
745,Microseris douglasii,4,4,1,2
745,Microseris douglasii,5,16,10,5
744,Microseris douglasii,1,1,1,5
744,Microseris douglasii,2,1,,2
744,Microseris douglasii,3,8,10,2
744,Microseris douglasii,4,2,2,1
744,Microseris douglasii,5,1,2,1
746,Microseris douglasii,1,1,,
746,Microseris douglasii,2,,,
746,Microseris douglasii,3,4,,30
746,Microseris douglasii,4,1,,
746,Microseris douglasii,5,,,
747,Microseris douglasii,1,1,1,
747,Microseris douglasii,2,20,10,15
747,Microseris douglasii,3,16,25,4
747,Microseris douglasii,4,,,
747,Microseris douglasii,5,50,50,30
750,Microseris douglasii,1,1,,
750,Microseris douglasii,2,,,
750,Microseris douglasii,3,,,
750,Microseris douglasii,4,,,
750,Microseris douglasii,5,,,
752,Microseris douglasii,1,8,5,1
752,Microseris douglasii,2,30,20,10
752,Microseris douglasii,3,1,,1
752,Microseris douglasii,4,,,
752,Microseris douglasii,5,,,
755,Microseris douglasii,1,,,
755,Microseris douglasii,2,1,,1
755,Microseris douglasii,3,1,,1
755,Microseris douglasii,4,12,10,15
755,Microseris douglasii,5,30,20,25
763,Microseris douglasii,1,,,
763,Microseris douglasii,2,1,,1
763,Microseris douglasii,3,,,
763,Microseris douglasii,4,,,
763,Microseris douglasii,5,,,
760,Microseris douglasii,1,12,10,15
760,Microseris douglasii,2,8,20,5
760,Microseris douglasii,3,4,2,2
760,Microseris douglasii,4,16,10,25
760,Microseris douglasii,5,,,
756,Microseris douglasii,1,4,5,2
756,Microseris douglasii,2,4,2,1
756,Microseris douglasii,3,1,1,1
756,Microseris douglasii,4,8,1,20
756,Microseris douglasii,5,4,1,5
759,Unknown perennial,1,,,
759,Unknown perennial,2,,,
759,Unknown perennial,3,,,
759,Unknown perennial,4,1,,
759,Unknown perennial,5,1,,2
743,Minuartia douglasii,1,1,,
743,Minuartia douglasii,2,,,
743,Minuartia douglasii,3,,,
743,Minuartia douglasii,4,1,,1
743,Minuartia douglasii,5,,,
745,Minuartia douglasii,1,,,
745,Minuartia douglasii,2,1,,
745,Minuartia douglasii,3,,,
745,Minuartia douglasii,4,1,1,1
745,Minuartia douglasii,5,,,
751,Minuartia douglasii,1,,,
751,Minuartia douglasii,2,,,
751,Minuartia douglasii,3,8,10,
751,Minuartia douglasii,4,,,
751,Minuartia douglasii,5,1,,1
752,Minuartia douglasii,1,,,
752,Minuartia douglasii,2,,,
752,Minuartia douglasii,3,,,
752,Minuartia douglasii,4,,,
752,Minuartia douglasii,5,1,,5
755,Minuartia douglasii,1,,,
755,Minuartia douglasii,2,1,,3
755,Minuartia douglasii,3,,,
755,Minuartia douglasii,4,,,
755,Minuartia douglasii,5,,,
741,Nassella pulchra,1,,,
741,Nassella pulchra,2,,,
741,Nassella pulchra,3,4,,
741,Nassella pulchra,4,,,
741,Nassella pulchra,5,4,,
742,Nassella pulchra,1,2,,
742,Nassella pulchra,2,8,,
742,Nassella pulchra,3,2,,40
742,Nassella pulchra,4,1,,
742,Nassella pulchra,5,,,
743,Nassella pulchra,1,,,
743,Nassella pulchra,2,,,
743,Nassella pulchra,3,8,1,10
743,Nassella pulchra,4,4,,
743,Nassella pulchra,5,4,,
745,Nassella pulchra,1,1,1,
745,Nassella pulchra,2,,,
745,Nassella pulchra,3,,,
745,Nassella pulchra,4,1,,
745,Nassella pulchra,5,,,
744,Nassella pulchra,1,,,
744,Nassella pulchra,2,,,
744,Nassella pulchra,3,,,
744,Nassella pulchra,4,2,,5
744,Nassella pulchra,5,,,
746,Nassella pulchra,1,4,,1
746,Nassella pulchra,2,12,,1
746,Nassella pulchra,3,8,,
746,Nassella pulchra,4,4,40,
746,Nassella pulchra,5,8,,
750,Nassella pulchra,1,12,,20
750,Nassella pulchra,2,12,40,10
750,Nassella pulchra,3,8,2,10
750,Nassella pulchra,4,8,,
750,Nassella pulchra,5,8,10,
751,Nassella pulchra,1,1,,10
751,Nassella pulchra,2,4,,
751,Nassella pulchra,3,8,,5
751,Nassella pulchra,4,10,1,
751,Nassella pulchra,5,8,,20
753,Nassella pulchra,1,,,
753,Nassella pulchra,2,4,,
753,Nassella pulchra,3,,,
753,Nassella pulchra,4,,,
753,Nassella pulchra,5,,,
752,Nassella pulchra,1,,,
752,Nassella pulchra,2,8,10,20
752,Nassella pulchra,3,4,,
752,Nassella pulchra,4,2,,
752,Nassella pulchra,5,2,1,
755,Nassella pulchra,1,1,,
755,Nassella pulchra,2,1,,
755,Nassella pulchra,3,,,
755,Nassella pulchra,4,,,
755,Nassella pulchra,5,,,
754,Nassella pulchra,1,,,
754,Nassella pulchra,2,,,
754,Nassella pulchra,3,,,
754,Nassella pulchra,4,8,,
754,Nassella pulchra,5,,,
763,Nassella pulchra,1,,,
763,Nassella pulchra,2,2,,
763,Nassella pulchra,3,8,10,
763,Nassella pulchra,4,,,
763,Nassella pulchra,5,,,
757,Nassella pulchra,1,,,
757,Nassella pulchra,2,2,,
757,Nassella pulchra,3,12,1,40
757,Nassella pulchra,4,,,
757,Nassella pulchra,5,,,
741,Navarretia mitracarpa,1,8,30,1
741,Navarretia mitracarpa,2,4,10,4
741,Navarretia mitracarpa,3,1,,
741,Navarretia mitracarpa,4,,,1
741,Navarretia mitracarpa,5,,,
742,Navarretia mitracarpa,1,1,,
742,Navarretia mitracarpa,2,1,,
742,Navarretia mitracarpa,3,1,,
742,Navarretia mitracarpa,4,,,
742,Navarretia mitracarpa,5,,,
743,Navarretia mitracarpa,1,8,,2
743,Navarretia mitracarpa,2,12,6,1
743,Navarretia mitracarpa,3,1,1,1
743,Navarretia mitracarpa,4,1,,1
743,Navarretia mitracarpa,5,1,1,
745,Navarretia mitracarpa,1,,,
745,Navarretia mitracarpa,2,4,4,1
745,Navarretia mitracarpa,3,4,,1
745,Navarretia mitracarpa,4,1,,4
745,Navarretia mitracarpa,5,1,,
744,Navarretia mitracarpa,1,1,1,1
744,Navarretia mitracarpa,2,1,,
744,Navarretia mitracarpa,3,,,
744,Navarretia mitracarpa,4,1,,
744,Navarretia mitracarpa,5,,,
747,Navarretia mitracarpa,1,1,,
747,Navarretia mitracarpa,2,,,
747,Navarretia mitracarpa,3,,,
747,Navarretia mitracarpa,4,1,,
747,Navarretia mitracarpa,5,,,
751,Navarretia mitracarpa,1,1,,
751,Navarretia mitracarpa,2,,,
751,Navarretia mitracarpa,3,,,
751,Navarretia mitracarpa,4,1,1,
751,Navarretia mitracarpa,5,,,
752,Navarretia mitracarpa,1,,,
752,Navarretia mitracarpa,2,,,
752,Navarretia mitracarpa,3,1,,
752,Navarretia mitracarpa,4,1,,
752,Navarretia mitracarpa,5,1,,
755,Navarretia mitracarpa,1,,,
755,Navarretia mitracarpa,2,,,
755,Navarretia mitracarpa,3,1,,
755,Navarretia mitracarpa,4,1,,
755,Navarretia mitracarpa,5,1,1,
756,Navarretia mitracarpa,1,,,
756,Navarretia mitracarpa,2,,,
756,Navarretia mitracarpa,3,,,
756,Navarretia mitracarpa,4,1,,
756,Navarretia mitracarpa,5,,,
743,Castilleja attenuata,1,,,
743,Castilleja attenuata,2,,,
743,Castilleja attenuata,3,1,1,
743,Castilleja attenuata,4,1,1,
743,Castilleja attenuata,5,,,
752,Castilleja attenuata,1,,,
752,Castilleja attenuata,2,1,,
752,Castilleja attenuata,3,,,
752,Castilleja attenuata,4,,,
752,Castilleja attenuata,5,1,1,
756,Castilleja attenuata,1,1,,
756,Castilleja attenuata,2,,,
756,Castilleja attenuata,3,,,
756,Castilleja attenuata,4,,,
756,Castilleja attenuata,5,,,
752,Phacelia imbricata,1,,,
752,Phacelia imbricata,2,,,
752,Phacelia imbricata,3,,,
752,Phacelia imbricata,4,2,,
752,Phacelia imbricata,5,,,
741,Plantago erecta,1,2,1,1
741,Plantago erecta,2,1,1,4
741,Plantago erecta,3,1,,5
741,Plantago erecta,4,1,,1
741,Plantago erecta,5,20,16,1
742,Plantago erecta,1,12,1,75
742,Plantago erecta,2,2,1,
742,Plantago erecta,3,12,5,1
742,Plantago erecta,4,25,16,10
742,Plantago erecta,5,30,10,1
743,Plantago erecta,1,20,10,1
743,Plantago erecta,2,20,10,40
743,Plantago erecta,3,16,15,2
743,Plantago erecta,4,40,25,10
743,Plantago erecta,5,50,10,20
745,Plantago erecta,1,25,12,15
745,Plantago erecta,2,12,15,1
745,Plantago erecta,3,4,2,2
745,Plantago erecta,4,20,50,10
745,Plantago erecta,5,30,30,15
744,Plantago erecta,1,30,50,5
744,Plantago erecta,2,15,20,20
744,Plantago erecta,3,50,40,25
744,Plantago erecta,4,50,30,70
744,Plantago erecta,5,20,30,15
746,Plantago erecta,1,,,
746,Plantago erecta,2,,,
746,Plantago erecta,3,1,1,1
746,Plantago erecta,4,,,
746,Plantago erecta,5,1,,
747,Plantago erecta,1,4,2,1
747,Plantago erecta,2,8,1,5
747,Plantago erecta,3,8,1,4
747,Plantago erecta,4,4,2,1
747,Plantago erecta,5,8,8,5
751,Plantago erecta,1,20,30,30
751,Plantago erecta,2,16,40,10
751,Plantago erecta,3,12,5,30
751,Plantago erecta,4,12,1,5
751,Plantago erecta,5,16,10,5
752,Plantago erecta,1,8,5,2
752,Plantago erecta,2,16,5,5
752,Plantago erecta,3,25,15,15
752,Plantago erecta,4,10,10,20
752,Plantago erecta,5,50,20,15
755,Plantago erecta,1,25,10,15
755,Plantago erecta,2,16,5,
755,Plantago erecta,3,8,3,10
755,Plantago erecta,4,25,30,20
755,Plantago erecta,5,20,30,10
763,Plantago erecta,1,1,,
763,Plantago erecta,2,,,
763,Plantago erecta,3,,,
763,Plantago erecta,4,1,,1
763,Plantago erecta,5,,,
760,Plantago erecta,1,,,
760,Plantago erecta,2,,,
760,Plantago erecta,3,,,
760,Plantago erecta,4,,,
760,Plantago erecta,5,4,,10
756,Plantago erecta,1,4,5,2
756,Plantago erecta,2,,,
756,Plantago erecta,3,,,
756,Plantago erecta,4,,,
756,Plantago erecta,5,,,
757,Plantago erecta,1,,,
757,Plantago erecta,2,,,
757,Plantago erecta,3,,,
757,Plantago erecta,4,1,,
757,Plantago erecta,5,,,
742,Poa secunda,1,,,
742,Poa secunda,2,,,
742,Poa secunda,3,4,,10
742,Poa secunda,4,,,
742,Poa secunda,5,4,,
743,Poa secunda,1,1,1,
743,Poa secunda,2,,,
743,Poa secunda,3,4,,
743,Poa secunda,4,,,
743,Poa secunda,5,,,
745,Poa secunda,1,,,
745,Poa secunda,2,4,,
745,Poa secunda,3,,,
745,Poa secunda,4,2,,
745,Poa secunda,5,1,,
747,Poa secunda,1,,,
747,Poa secunda,2,,,
747,Poa secunda,3,1,,1
747,Poa secunda,4,1,,
747,Poa secunda,5,,,
748,Poa secunda,1,,,
748,Poa secunda,2,,,
748,Poa secunda,3,,,
