"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation","url_source","project_pi","project_pi_contact"
"Bromus hordeaceus","leaf area","118.2","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","188.55","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","63.1","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","71.75","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","132.7","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","41","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","96.5","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","41.1","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","48.7","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","97.5","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","92.85","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","22.4","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","43.8","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","seed mass","0.76","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Bromus hordeaceus","seed mass","0.61","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Bromus hordeaceus","seed mass","1.784","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Bromus hordeaceus","seed mass","5.26","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Bromus hordeaceus","seed mass","5.26","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Bromus hordeaceus","seed mass","0.76","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Bromus hordeaceus","seed mass","1.784","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Bromus hordeaceus","seed mass","1.784","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Bromus hordeaceus","seed mass","1.784","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Bromus hordeaceus","seed mass","5.26","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Bromus hordeaceus","leaf area","264.25","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","19.15","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","146.85","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","99.9","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","63.3","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","14.4","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","41","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","37.5","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","79.3","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","28.65","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","83.9","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","133.25","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","81.3","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","46.3","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","55.45","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","99.35","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","52.4","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","30.55","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","63.65","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","143.25","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","127.25","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","30.45","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","104.85","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","99.7","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","15.8","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","42.25","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","64.25","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","182.5","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","42.6","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","72.05","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","92.9","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","130.3","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","108.75","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","46.2","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","149.65","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","101.55","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","66.1","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","77.65","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","84.7","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","136.15","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","32.15","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","49.55","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","63.25","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","73.65","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","29.8","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","5.1","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","112.8","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","77.7","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","66.35","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","55.65","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","34","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","66.1","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","40.4","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","45.7","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","76.15","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","78.45","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","54.3","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","59.4","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","63.35","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","102.6","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","60.5","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","80.95","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","39.95","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","42.25","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","20.1","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","44.05","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","50.6","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","88.9","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","61.5","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","28.75","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","169.15","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","163.15","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","60.95","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf area","51.2","mm2","measured on two randomly selected leafs of each of the selected individuals of each species and quadrat","40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","whole plant height","0.18","m",NA,"40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","whole plant height","0.15","m",NA,"40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","whole plant height","0.15","m",NA,"40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","whole plant height","0.115","m",NA,"40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","whole plant height","0.38","m","We used the Jepson Manual (Jepson & Hickman 1993) for vegetative height, seed size and flowering dates and supplemented using other field guides (Smith 1952; Munz 1959), data bases [Ecological Flora Data base (http://ucjeps.berkeley.edu/efc/dbase.html)] and field measurements as needed.","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","13.2765","m2·kg-1","SLA was solely obtained via field measurements and calculated on three leaves (from separate individuals) by scanning leaves and analysing the images with Image J (Abramoff, Magalhaes & Ram 2004), petioles were excluded from the analysis. Leaf area for grasses was acquired using the leaf blade (i.e. the portion of the leaf above the sheath and ligule).","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Bromus hordeaceus","seed mass","3.25","mg","We used the Jepson Manual (Jepson & Hickman 1993) for vegetative height, seed size and flowering dates and supplemented using other field guides (Smith 1952; Munz 1959), data bases [Ecological Flora Data base (http://ucjeps.berkeley.edu/efc/dbase.html)] and field measurements as needed.","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Bromus hordeaceus","leaf nitrogen content per leaf dry mass","25.4094","mg.g-1","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Bromus hordeaceus","leaf area","161.0282","mm2","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","28.74019","m2·kg-1","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Bromus hordeaceus","whole plant height","0.509091","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Bromus hordeaceus","seed mass","1.885676","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Bromus hordeaceus","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com"
"Bromus hordeaceus","whole plant height","0.08","m",NA,"40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.005929767","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.008155278","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
